Date,Total Cases,New Cases
20200302,2,0
20200303,2,0
20200304,2,0
20200305,2,0
20200306,3,0
20200307,7,0
20200308,11,0
20200309,17,0
20200310,22,0
20200311,31,0
20200312,31,1
20200313,41,1
20200314,65,1
20200315,97,1
20200316,118,1
20200317,142,1
20200318,193,3
20200319,282,10
20200320,482,14
20200321,552,20
20200322,620,25
20200323,800,25
20200324,1095,38
20200325,1385,47
20200326,1641,56
20200327,2198,64
20200328,2447,79
20200329,2683,83
20200330,3032,102
20200331,4116,125
20200401,4747,154
20200402,5444,176
20200403,5967,198
20200404,6383,208
20200405,6742,219
20200406,7558,294
20200407,9156,348
20200408,10204,370
20200409,10885,412
20200410,11859,425
20200411,12261,432
20200412,12103,438
20200413,13125,479
20200414,13913,517
20200415,14583,569
20200416,15644,611
20200417,16658,661
20200418,17014,670
20200419,17619,682
20200420,18447,767
20200421,19189,810
20200422,20099,837
20200423,20905,871
20200424,21575,889
20200425,22225,897
20200426,22459,907
20200427,23229,981
20200428,23607,1022
20200429,24300,1086
20200430,25431,1121
20200501,26436,1153
20200502,27268,1161
20200503,27618,1168
20200504,28350,1228
20200505,28876,1277
20200506,29724,1309
20200507,30524,1333
20200508,31089,1378
20200509,31481,1380
20200510,32267,1383
20200511,32448,1420
20200512,33311,1470
20200513,33866,1494