Date,New Cases,Total Cases
20200305,4,4
20200306,1,5
20200307,1,6
20200308,1,7
20200309,1,8
20200310,3,11
20200311,11,22
20200312,12,34
20200313,40,74
20200314,20,94
20200315,32,126
20200316,74,200
20200317,113,313
20200318,137,450
20200319,174,624
20200320,188,812
20200321,106,918
20200322,129,"1,047"
20200323,238,"1,285"
20200324,261,"1,546"
20200325,262,"1,808"
20200326,318,"2,126"
20200327,444,"2,570"
20200328,195,"2,765"
20200329,284,"3,049"
20200330,508,"3,557"
20200331,392,"3,949"
20200401,484,"4,433"
20200402,445,"4,878"
20200403,521,"5,399"
20200404,303,"5,702"
20200405,274,"5,976"
20200406,709,"6,685"
20200407,655,"7,340"
20200408,683,"8,023"
20200409,645,"8,668"
20200410,585,"9,253"
20200411,382,"9,635"
20200412,422,"10,057"
20200413,760,"10,817"
20200414,840,"11,657"
20200415,841,"12,498"
20200416,884,"13,382"
20200417,957,"14,339"
20200418,458,"14,797"
20200419,389,"15,186"
20200420,1023,"16,209"
20200421,1011,"17,220"
20200422,953,"18,173"
20200423,1083,"19,256"
20200424,1028,"20,284"
20200425,648,"20,932"
20200426,381,"21,313"
20200427,1188,"22,501"
20200428,1249,"23,750"
20200429,1180,"24,930"
20200430,1012,"25,942"
20200501,1178,"27,120"
20200502,705,"27,825"
20200503,415,"28,240"
20200504,1308,"29,548"
20200505,1275,"30,823"
20200506,1145,"31,968"
20200507,1157,"33,125"
20200508,941,"34,066"
20200509,521,"34,587"
20200510,327,"34,914"
20200511,687,"35,601"
20200512,268,"35,869"
20200513,34,"35,903"